original_id,path,class_id,split,duplicate_group_id,sha256,phash64
D0_ORIG_000000,class_000/D0_ORIG_000000.jpg,0,train,GROUP_000000,f9531e3990edf4234865c9ec7d9a6fb45b5b30729d1e2f2d5cfc5b65c1966f65,3c15fb4b2ed81323
D0_ORIG_000001,class_000/D0_ORIG_000001.jpg,0,train,GROUP_000001,79ce9db7935e9ff9c12d893da218cbc44d25e6d8e4b73941a4c98dfcff13477d,2294e4a25bd06f84
D0_ORIG_000002,class_000/D0_ORIG_000002.jpg,0,train,GROUP_000002,5f4ed352d095d6b391f3172f0a18803659483a528a11eaf63564b95af0e26c60,635b7ec1878eb2fd
D0_ORIG_000003,class_000/D0_ORIG_000003.jpg,0,train,GROUP_000003,d1dfccdd4fb7dc663520707d63df6eee8dd18d0813a7f6406137d05c8c26b4ba,7ea86da97d309096
D0_ORIG_000004,class_000/D0_ORIG_000004.jpg,0,train,GROUP_000004,c90357b102f92bbe6d8044b6da007f95f8f2b05923a090f3d45260295cb2304e,661087930ae5774c
D0_ORIG_000005,class_000/D0_ORIG_000005.jpg,0,train,GROUP_000005,3dd86abad360018058fbbd3158da9622bb6325ef09442b578775083a496a2676,38bcef8fc913f12d
D0_ORIG_000006,class_000/D0_ORIG_000006.jpg,0,train,GROUP_000006,08f90b30885a29cdbb2931db3e885c8fe559c29b39d378c9d1b2831a78e9539c,09ea859e4e22cf52
D0_ORIG_000007,class_000/D0_ORIG_000007.jpg,0,train,GROUP_000007,960ccf0d930eee363fcbfce345d0875466f5607f81da1b87757b199247d90291,0b150f882b85b6ad
D0_ORIG_000008,class_000/D0_ORIG_000008.jpg,0,train,GROUP_000008,2bce6b78b6f5c72c8818fd881627192cb2252e4c1b13ba59941bd7bbed2c31a5,18334cfece94bfa2
D0_ORIG_000009,class_000/D0_ORIG_000009.jpg,0,train,GROUP_000009,a275badb35baa78d6d0db567d256747cae5bd031a144971a460bf3422ad518c6,8e4cf29dffc9aaf5
D0_ORIG_000010,class_000/D0_ORIG_000010.jpg,0,train,GROUP_000010,d7d216bced66b191d90948b478167304f201063c419369b70cc927fd1ffcbdc0,914fb4feb09c7479
D0_ORIG_000011,class_000/D0_ORIG_000011.jpg,0,train,GROUP_000011,ebabe784411632067d94b62a127e8e1155e02159b9473e1af19f9ae713472c70,56cb1718083c2626
D0_ORIG_000012,class_000/D0_ORIG_000012.jpg,0,train,GROUP_000012,7d3d25049731506713e0f10e2445fe4f4b45930df649e91c1acce81f7508b1b1,5b78e36b319bf1bc
D0_ORIG_000013,class_000/D0_ORIG_000013.jpg,0,train,GROUP_000013,9ddf1f657f4b17940c2ca06ed427e4a70c9d851994a30589fffc641e818a39a1,abad5e8200e4e059
D0_ORIG_000014,class_000/D0_ORIG_000014.jpg,0,train,GROUP_000014,f069cb4f9f1f7ceb0a6b8f51a1cc9851f4bb111f433b1800e04d14c5f05c1e34,db6c2473f43dc2ff
D0_ORIG_000015,class_000/D0_ORIG_000015.jpg,0,train,GROUP_000015,519195fc50675d6910571fb907ec765a9c552d4e5b6b51d77b6d42240ca34a10,5823292dbc37712b
D0_ORIG_000016,class_000/D0_ORIG_000016.jpg,0,train,GROUP_000016,979223f8b3e3ddbebbbab3f20f6edaee8412b5ab50702c3f200b02e3ba0e357a,a52231533a7a0098
D0_ORIG_000017,class_000/D0_ORIG_000017.jpg,0,train,GROUP_000017,23742ce26f6d68052d3cf7f9cf35bd32ee70e062d05894991b0f07a4c6a6d7c0,c1c054e2f4555e09
D0_ORIG_000018,class_000/D0_ORIG_000018.jpg,0,train,GROUP_000018,1209d895da45ddce4c4e4e508aeca6bbb20f689059e51c2ff25728761f38ec2c,5038adcf0cb5a8e9
D0_ORIG_000019,class_000/D0_ORIG_000019.jpg,0,train,GROUP_000019,26e4f17f4189b3485a793d9dff1bb9fff0ddfdc27ad57be9fc390c78b28d046a,cb71af935f6e1674
D0_ORIG_000020,class_000/D0_ORIG_000020.jpg,0,train,GROUP_000020,c41aeb599a7c57977e08fc0dd93d4a7d97c38ca31b905476ce820a9bd75170f2,78b73cb6c1850dd8
D0_ORIG_000021,class_000/D0_ORIG_000021.jpg,0,train,GROUP_000021,280dfae83aadee93ea9c4d9a88749f5eec64ec412382f9c6355eb3fa0b95d722,5abc38f6c9cf3e72
D0_ORIG_000022,class_000/D0_ORIG_000022.jpg,0,train,GROUP_000022,fca073bb1046a27c5382135ba3a7eede08afd35a76409accb16320541b30a29a,a56d1840ede7f296
D0_ORIG_000023,class_000/D0_ORIG_000023.jpg,0,train,GROUP_000023,1e0ef7c5bd61c783cce578129ce2c76832959e90b69b2b7c39961bdb5b63ba36,581afc6dceeb50b5
D0_ORIG_000024,class_000/D0_ORIG_000024.jpg,0,train,GROUP_000024,4ff0b153492b711659c1a8bb29b96b6f53cf5449845908071ff5de05f737d40b,778c3dda3b96a832
D0_ORIG_000025,class_000/D0_ORIG_000025.jpg,0,train,GROUP_000025,12cc1d9a192eb039469e634a856912f06f732d4afdcc1981cf1b5af8473d5216,04b9333fc7f09f7d
D0_ORIG_000026,class_000/D0_ORIG_000026.jpg,0,train,GROUP_000026,9faca33685d8ccad55c5205fa991c62971ded755db3edbdfaf2590dc7c1d1418,7dbaa88bfc3d5d2a
D0_ORIG_000027,class_000/D0_ORIG_000027.jpg,0,train,GROUP_000027,ce492c676e7731076e25cc9be9aa5c62f6765119213fd6ceadac7926d774e1ae,bab7d64369ce00fe
D0_ORIG_000028,class_000/D0_ORIG_000028.jpg,0,train,GROUP_000028,71431a9e4b89b17ae4814ebe0ef486c3f769b509d665254109e44c9a9af1fd9d,ac4b613eadd0d1ae
D0_ORIG_000029,class_000/D0_ORIG_000029.jpg,0,train,GROUP_000029,991ce215e25ed4adf5fc167feee6589123f0568c4b8323ead1876133ee007fa9,c6b923983d2e88c2
D0_ORIG_000030,class_000/D0_ORIG_000030.jpg,0,train,GROUP_000030,3e9734a3e7b9cc6d0c6999fbafce78d7b1eaaa78a277efcbc91973a90b8d4fc4,c44f3b9edfe22be6
D0_ORIG_000031,class_000/D0_ORIG_000031.jpg,0,train,GROUP_000031,8fc7801e5dc3d56f78eabd24a1dfb441613b276c892848fd501452d0a443886f,9c659040a255844a
D0_ORIG_000032,class_000/D0_ORIG_000032.jpg,0,train,GROUP_000032,2fd6fa9e8bc1e87f358f944ab67a6ba893e2dc6266e62a6e1a6f0db028cdb5ff,10bc215ee485dbd4
