original_id,path,class_id,split,duplicate_group_id,sha256,phash64
XIE24_ORIG_000000,class_000/XIE24_ORIG_000000.jpg,0,train,GROUP_000000,d4824d60da508eb18c2cd9536e6849b6cdcc479c63f0ea31c47c5f65eb37ddb1,559821cbb8217f71
XIE24_ORIG_000001,class_000/XIE24_ORIG_000001.jpg,0,train,GROUP_000001,af979d5f2622c354cdfab04776afb9b57de8cf5178574412dd05c70c338e6b97,b7244c5b8f1c6741
XIE24_ORIG_000002,class_000/XIE24_ORIG_000002.jpg,0,train,GROUP_000002,fb1a17022e26174030cf0062c8acf33a46b45454e31be911c539e524593256e6,d9050183861a8708
XIE24_ORIG_000003,class_000/XIE24_ORIG_000003.jpg,0,train,GROUP_000003,9612ee2187b8a734380fd2893bbdc50bb0c86d43732af0b0c5391321df8b5a45,5409b095a7d4142e
XIE24_ORIG_000004,class_000/XIE24_ORIG_000004.jpg,0,train,GROUP_000004,d6f05fb91e603ce16f87c71d6b2a9951dcbdcd3794a62ca4177e70f36ac037f8,71e1bfc2885eb8e7
XIE24_ORIG_000005,class_000/XIE24_ORIG_000005.jpg,0,train,GROUP_000005,daa9194b4f338698773a4c6178aa0178db1306dd45d233bebe7b1423b0063c97,fee385f723e4213d
XIE24_ORIG_000006,class_000/XIE24_ORIG_000006.jpg,0,train,GROUP_000006,9d90cec62a5240d042382bc244102052a4b53c08c87184d7c9f372f7bc726ad6,c737a7e42b69a546
XIE24_ORIG_000007,class_000/XIE24_ORIG_000007.jpg,0,train,GROUP_000007,ff2d11cf421adf4436dd733bca9e9aa6a1dd823f99e0435b5b3246c6340891e4,cfadf49056b7968b
XIE24_ORIG_000008,class_000/XIE24_ORIG_000008.jpg,0,train,GROUP_000008,ba722c713f57481f3fb67d1d66ad03e2b4535a2fcda5a4d95fc27e9da336a333,c2257f4e221757ed
XIE24_ORIG_000009,class_000/XIE24_ORIG_000009.jpg,0,train,GROUP_000009,40c66fdd14b4f9f687959aaafb94fb41d2b7ea33e36ae3946aa16f8116cc2af6,8d0201e40df0c52b
XIE24_ORIG_000010,class_000/XIE24_ORIG_000010.jpg,0,train,GROUP_000010,92b34f0cf3957336309597ed483d11c1fc30eec630acad4df8ee492da8386102,1b9b90982c015621
XIE24_ORIG_000011,class_000/XIE24_ORIG_000011.jpg,0,train,GROUP_000011,eba67ebeae4142734a6ed4e557f8487aec667a221e820fec0f56a0d776c07c8a,001735e03eadb146
XIE24_ORIG_000012,class_000/XIE24_ORIG_000012.jpg,0,train,GROUP_000012,df8c4aa929ead043a008b3b08034e97dce92f951a0427743389d7b6e1a5043eb,e484a310d33ae9e8
XIE24_ORIG_000013,class_000/XIE24_ORIG_000013.jpg,0,train,GROUP_000013,350deda2a74b5d0e33d41c3252659126389d335ab806ada8fc8f23989cf8e67b,30104a0cba381a73
XIE24_ORIG_000014,class_000/XIE24_ORIG_000014.jpg,0,train,GROUP_000014,5346bb16a135d3b6c95d713c92a3b6a96e5a2c09f09cc935a57576c1d6d4fb68,1bfbacf1805a1c90
XIE24_ORIG_000015,class_000/XIE24_ORIG_000015.jpg,0,train,GROUP_000015,daf6623fde087cea377004361d8881ab0fed6df1498fd8f8d18949167cb36acb,cb229dce7ec6dae9
XIE24_ORIG_000016,class_000/XIE24_ORIG_000016.jpg,0,train,GROUP_000016,e1d1a08b3cefc6bd3983d45d87711415bcd60715ba91a14d90ecf01ea5369902,d794c9b159269ebf
XIE24_ORIG_000017,class_000/XIE24_ORIG_000017.jpg,0,train,GROUP_000017,d68213648d26fccb75aa6454141c3de26a7da7b8dd4b13f790ace8ece840f8fd,44121ecf6aa521a5
XIE24_ORIG_000018,class_000/XIE24_ORIG_000018.jpg,0,train,GROUP_000018,07cce81b09713842add961cbca555b2bb2e04d56d3574b350aea0bfdd512ceae,d625a3a694ec3675
XIE24_ORIG_000019,class_000/XIE24_ORIG_000019.jpg,0,train,GROUP_000019,37a159d6ebc676fbe8b41575587e403695e19993b47ae54aee6569f57eb59997,6f923c30d09f0154
XIE24_ORIG_000020,class_000/XIE24_ORIG_000020.jpg,0,train,GROUP_000020,70b10a4b2466331d599bf7c7799e1d07dad6c4dda8bad367b37a51d1644f7444,eb2783a4a12b3aa2
XIE24_ORIG_000021,class_000/XIE24_ORIG_000021.jpg,0,train,GROUP_000021,c3afd79e81e6c1efca5bf98f2e1e133be501cec0a7d3e2edec2556596c251261,223cf923d81a0ff4
XIE24_ORIG_000022,class_000/XIE24_ORIG_000022.jpg,0,train,GROUP_000022,fd5d1025637607b8be7fd14d09618b7dde17dab30e4f1faf1023019096e1134a,6b0b3259c5d76323
XIE24_ORIG_000023,class_000/XIE24_ORIG_000023.jpg,0,train,GROUP_000023,345d34e888d815537094d79a107d5b6eacb29443494a131fe24bb5e51eb3306f,8734d1fdce42c750
XIE24_ORIG_000024,class_000/XIE24_ORIG_000024.jpg,0,train,GROUP_000024,1ed02b0e208a385b37aeb37a15b41396811b9c37f351166d1281fae5335f3183,577c54e44547373a
